PivotTable1,,,,
Vietnam Data Mart,,,,
,YTD Year 00,,YTD Year 01,
Segment,Values WAP - LC,Values WAP - LC Growth Rate VS PY,Values WAP - LC,Values WAP - LC Growth Rate VS PY
MARKET 01,"1,404,318,117,712",13 %,"1,879,751,260,722",34 %
MARKET 02,"923,622,506,573",0 %,"1,375,740,069,731",49 %
MARKET 03,"1,073,478,193,866",11 %,"1,304,173,570,492",21 %
MARKET 04,"871,240,545,077",12 %,"1,195,837,430,372",37 %
MARKET 05,"779,548,654,989",1 %,"1,132,128,947,238",45 %
MARKET 06,"947,234,077,515",16 %,"1,018,931,117,839",8 %
MARKET 07,"599,395,704,020",12 %,"911,674,431,822",52 %
MARKET 08,"727,982,867,095",6 %,"902,233,247,811",24 %
MARKET 09,"556,526,007,567",2 %,"878,463,115,847",58 %
MARKET 10,"679,427,599,893",2 %,"837,474,277,792",23 %
MARKET 11,"661,410,846,331",8 %,"811,051,071,143",23 %
MARKET 12,"516,305,571,812",7 %,"729,201,172,136",41 %
MARKET 13,"378,930,796,674",18 %,"724,125,762,519",91 %
MARKET 14,"461,543,001,592",11 %,"635,311,677,087",38 %
MARKET 15,"553,178,703,834",8 %,"580,132,240,203",5 %
MARKET 16,"429,303,483,476",6 %,"564,431,233,668",31 %
MARKET 17,"411,699,581,075",6 %,"532,117,451,917",29 %
MARKET 18,"439,521,126,626",7 %,"522,625,214,295",19 %
MARKET 19,"320,359,876,113",3 %,"521,744,980,970",63 %
MARKET 20,"391,202,320,031",17 %,"485,402,128,309",24 %
MARKET 21,"404,892,841,503",11 %,"465,048,085,637",15 %
MARKET 22,"418,343,470,380",32 %,"458,543,646,756",10 %
MARKET 23,"344,778,843,922",4 %,"452,832,663,303",31 %
MARKET 24,"313,372,089,448",1 %,"449,717,588,531",44 %
MARKET 25,"390,398,694,246",24 %,"436,502,649,807",12 %
MARKET 26,"266,058,562,588",21 %,"425,865,890,325",60 %
MARKET 27,"279,976,164,695",1 %,"420,412,512,416",50 %
MARKET 28,"238,950,246,972",35 %,"400,549,104,683",68 %
MARKET 29,"290,737,135,599",4 %,"395,416,627,753",36 %
MARKET 30,"262,261,202,644",13 %,"386,536,448,149",47 %
MARKET 31,"311,126,210,323",49 %,"372,879,017,337",20 %
MARKET 32,"285,754,213,543",12 %,"355,444,548,001",24 %
MARKET 33,"168,425,557,713",34 %,"341,668,569,811",103 %
MARKET 34,"244,313,268,764",10 %,"334,712,823,411",37 %
MARKET 35,"177,590,254,467",9 %,"334,682,210,972",88 %
MARKET 36,"282,414,826,255",2 %,"333,110,186,206",18 %
MARKET 37,"235,179,657,564",6 %,"314,550,243,522",34 %
MARKET 38,"300,506,233,146",15 %,"310,710,737,669",3 %
MARKET 39,"214,833,726,412",0 %,"304,615,378,310",42 %
MARKET 40,"196,421,676,902",34 %,"302,047,190,507",54 %
MARKET 41,"319,358,971,093",5 %,"301,396,192,865",6 %
MARKET 42,"273,602,919,179",13 %,"300,235,635,455",10 %
MARKET 43,"260,264,300,962",16 %,"297,444,586,663",14 %
MARKET 44,"300,283,427,524",5 %,"293,170,425,176",2 %
MARKET 45,"180,053,961,883",8 %,"292,069,954,086",62 %
MARKET 46,"197,742,900,210",9 %,"286,033,019,354",45 %
MARKET 47,"255,702,423,113",3 %,"285,568,989,174",12 %
MARKET 48,"261,061,569,253",15 %,"284,493,855,799",9 %
MARKET 49,"254,326,167,641",8 %,"279,064,695,680",10 %
