,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
BRAND 21,MARKET 02,"1,014,321,728",,,BRAND 01,MARKET 15,"336,631,895,296"
BRAND 23,MARKET 56,"32,704,014,759",,,BRAND 02,MARKET 12,"327,643,736,749"
BRAND 25,MARKET 56,"18,720,419,783",,,BRAND 03,MARKET 10,"305,435,962,881"
BRAND 26,MARKET 133,"5,474,340,712",,,BRAND 04,MARKET 05,"248,147,638,016"
BRAND 27,MARKET 23,"3,304,732,320",,,BRAND 05,MARKET 01,"192,461,939,867"
BRAND 29,MARKET 31,"1,829,850,810",,,BRAND 06,MARKET 05,"174,702,205,125"
BRAND 30,MARKET 71,"29,686,770,343",,,BRAND 07,MARKET 33,"130,136,087,478"
BRAND 31,MARKET 17,"12,215,521,841",,,BRAND 08,MARKET 45,"103,271,901,654"
BRAND 35,MARKET 180,"22,032,181,958",,,BRAND 09,MARKET 90,"90,092,502,912"
BRAND 41,MARKET 28,"6,936,645,040",,,BRAND 10,MARKET 12,"82,563,441,103"
BRAND 42,MARKET 01,"3,489,980,423",,,BRAND 11,MARKET 27,"76,674,568,141"
BRAND 43,MARKET 31,"23,859,820,467",,,BRAND 12,MARKET 09,"74,928,497,354"
BRAND 44,MARKET 14,"31,656,748,509",,,BRAND 13,MARKET 170,"73,822,459,234"
BRAND 49,MARKET 28,"1,180,091,704",,,BRAND 14,MARKET 167,"71,125,525,334"
BRAND 50,MARKET 13,"2,648,947,658",,,BRAND 15,MARKET 131,"70,707,439,322"
BRAND 51,MARKET 37,"6,089,393,172",,,BRAND 16,MARKET 89,"69,547,434,980"
BRAND 53,MARKET 11,"4,837,433,725",,,BRAND 17,MARKET 47,"61,840,081,954"
BRAND 55,MARKET 144,"3,096,713,400",,,BRAND 18,MARKET 27,"58,905,596,559"
BRAND 57,MARKET 21,"1,299,480,064",,,BRAND 19,MARKET 28,"57,230,402,256"
BRAND 59,MARKET 31,"7,217,980,002",,,BRAND 20,MARKET 104,"56,194,195,940"
BRAND 65,MARKET 12,"3,412,465,717",,,BRAND 22,MARKET 01,"51,419,443,513"
BRAND 66,MARKET 56,"6,853,322,105",,,BRAND 24,MARKET 115,"48,003,566,773"
BRAND 67,MARKET 06,"4,234,453,113",,,BRAND 28,MARKET 01,"40,084,069,782"
BRAND 68,MARKET 66,"26,428,240,850",,,BRAND 32,MARKET 73,"38,685,343,577"
BRAND 69,MARKET 47,"6,179,081,727",,,BRAND 33,MARKET 13,"33,830,579,870"
BRAND 71,MARKET 36,"11,115,434,230",,,BRAND 34,MARKET 33,"4,801,760,129"
BRAND 78,MARKET 06,"3,494,530,417",,,BRAND 36,MARKET 05,"38,437,618,357"
BRAND 79,MARKET 29,"6,802,928,555",,,BRAND 37,MARKET 104,"38,434,904,033"
BRAND 80,MARKET 02,"5,659,009,386",,,BRAND 38,MARKET 58,"38,222,291,303"
BRAND 81,MARKET 08,"5,154,832,383",,,BRAND 39,MARKET 14,"37,311,400,559"
BRAND 82,MARKET 28,"6,576,634,772",,,BRAND 40,MARKET 99,"36,557,599,885"
BRAND 83,MARKET 01,"4,189,864,802",,,BRAND 45,MARKET 36,"31,502,178,994"
BRAND 86,MARKET 36,"3,608,833,204",,,BRAND 46,MARKET 27,"31,349,780,262"
BRAND 87,MARKET 36,"2,312,417,826",,,BRAND 47,MARKET 104,"30,812,148,074"
BRAND 88,MARKET 01,"7,700,303,562",,,BRAND 48,MARKET 47,"29,842,619,412"
BRAND 90,MARKET 110,"2,182,639,731",,,BRAND 52,MARKET 09,"27,480,935,588"
BRAND 92,MARKET 13,"4,248,024,476",,,BRAND 54,MARKET 31,"26,548,349,276"
BRAND 93,MARKET 15,"4,786,239,248",,,BRAND 56,MARKET 47,"24,702,855,082"
BRAND 95,MARKET 55,"1,391,669,272",,,BRAND 58,MARKET 21,"3,431,742,290"
BRAND 96,MARKET 234,"8,137,605,688",,,BRAND 60,MARKET 57,"23,357,133,626"
BRAND 97,MARKET 06,"12,998,319,390",,,BRAND 61,MARKET 09,"23,116,955,678"
BRAND 100,MARKET 73,"10,102,355,197",,,BRAND 62,MARKET 01,"22,899,464,926"
BRAND 101,MARKET 23,"4,529,690,504",,,BRAND 63,MARKET 13,"22,002,802,170"
BRAND 102,MARKET 11,"7,476,521,948",,,BRAND 64,MARKET 137,"21,910,594,582"
BRAND 103,MARKET 34,"3,156,174,721",,,BRAND 70,MARKET 47,"20,776,210,581"
BRAND 108,MARKET 125,"22,772,864,071",,,BRAND 72,MARKET 06,"20,345,903,625"
BRAND 113,MARKET 41,"5,090,956,638",,,BRAND 73,MARKET 71,"19,988,962,919"
BRAND 114,MARKET 76,"2,293,973,404",,,BRAND 74,MARKET 33,"19,885,830,777"
BRAND 119,MARKET 04,"5,812,540,885",,,BRAND 75,MARKET 65,"19,612,652,730"
BRAND 121,MARKET 137,"6,173,240,950",,,BRAND 76,MARKET 33,"19,585,894,261"
BRAND 123,MARKET 87,"1,814,371,889",,,BRAND 77,MARKET 11,"19,466,600,994"
BRAND 124,MARKET 09,"3,202,407,000",,,BRAND 84,MARKET 01,"18,173,782,173"
BRAND 126,MARKET 21,"9,187,891,609",,,BRAND 85,MARKET 04,"18,160,601,443"
